City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Anadyr,RU,52.3,light rain,64.75,177.4833,Отке17.ру — жильё для командированных
381,Antalaha,MG,67.1,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
383,Boden,SE,55.4,overcast clouds,65.8252,21.6886,Quality Hotel Bodensia
384,Northam,GB,65.39,broken clouds,51.0333,-4.2167,Durrant House Hotel
386,Port Hedland,AU,57.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
394,Yatou,CN,67.21,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
400,Asmara,ER,62.28,broken clouds,15.3333,38.9333,Hamasien Hotel
405,Warrnambool,AU,50.25,light rain,-38.3833,142.4833,Lady Bay Resort
408,Kukes,AL,64.29,overcast clouds,42.0769,20.4219,Hotel ''LUMA''
412,Vao,NC,69.03,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
413,Kachiry,KZ,59.43,few clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
416,Sehithwa,BW,68.18,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
418,Ngunguru,NZ,54.68,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
424,Maxixe,MZ,67.86,clear sky,-23.8597,35.3472,Oceano
431,Fairbanks,US,59.31,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
432,Lac Du Bonnet,CA,61.74,overcast clouds,50.2536,-96.0612,Drifter's Inn
438,Asahikawa,JP,61.48,light rain,43.7678,142.3703,Hoshino Resorts OMO7 Asahikawa
439,Nemuro,JP,65.84,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
445,Ostersund,SE,51.62,overcast clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
449,Handan,CN,67.5,overcast clouds,36.6006,114.4678,Jin Jiang Inn - Handan China South Street Inn
456,El Alto,PE,69.46,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
457,Mareeba,AU,68.72,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
462,Zambezi,ZM,65.98,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
463,Kondinskoye,RU,58.96,few clouds,59.6481,67.41,Gostinitsa
467,Bell Ville,AR,62.8,clear sky,-32.6259,-62.6887,Hotel Central
469,Asau,RO,69.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
470,Sumiswald,CH,66.52,few clouds,47.0275,7.7453,Bühl 3
475,Preobrazheniye,RU,62.73,overcast clouds,42.9019,133.9064,Campsite Orlan
477,Yelizavetino,RU,61.36,overcast clouds,59.4916,29.7938,Palace Yelizavetino
480,Falmouth,GB,63.5,overcast clouds,50.1544,-5.0711,The Falmouth Hotel
481,Kyshtovka,RU,58.37,scattered clouds,56.555,76.6271,Uyutnaya Mini-Hotel
484,Hualmay,PE,65.52,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
485,Soe,ID,62.94,broken clouds,-9.8607,124.284,Dena Hotel
491,Gornozavodsk,RU,57.85,few clouds,58.3758,58.3211,Hotel Ural
493,Batagay,RU,51.48,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
495,Oktyabrskoye,RU,66.34,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
498,Yar-Sale,RU,51.73,light rain,66.8333,70.8333,Yalemd
501,Sioux Lookout,CA,68.07,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
503,Bahar,IR,62.76,clear sky,34.9072,48.4414,هتل ولفجر
504,Coihaique,CL,57.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
508,Motala,SE,54.72,overcast clouds,58.5371,15.0365,Wärdshuset Berggrens Källare
520,Kaeo,NZ,54.32,few clouds,-35.1,173.7833,Bushido Lodge
521,Tambovka,RU,50.0,broken clouds,50.0969,128.0489,Lyzhnaya Gorka
526,Venado Tuerto,AR,63.77,clear sky,-33.7456,-61.9688,La Bianca.
528,Flin Flon,CA,69.64,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
534,Luwingu,ZM,69.44,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
538,Atherton,GB,62.74,broken clouds,53.5237,-2.4935,The Mercury Motel
539,Soria,ES,65.1,few clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
545,Penzance,GB,63.28,broken clouds,50.1186,-5.5371,Artist Residence Penzance
549,Codrington,AU,50.92,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
558,Nzega,RW,58.03,overcast clouds,-2.479,29.5564,Ubumwe Center Kigeme Ltd
