City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Camana,PE,-16.6228,-72.7111,63.64,77,28,6.53,scattered clouds
138,Bauchi,NG,10.5,10.0,69.19,88,40,4.09,scattered clouds
139,Husavik,IS,66.0449,-17.3389,56.53,70,45,8.9,scattered clouds
140,Tokur,RU,53.1333,132.9,45.52,96,100,3.85,overcast clouds
141,Kavieng,PG,-2.5744,150.7967,81.86,74,57,13.62,broken clouds
142,Castro,BR,-24.7911,-50.0119,48.56,67,85,9.89,overcast clouds
143,Tiksi,RU,71.6872,128.8694,41.38,99,100,5.28,overcast clouds
144,Upernavik,GL,72.7868,-56.1549,37.76,82,100,16.08,overcast clouds
145,Sibolga,ID,1.7427,98.7792,74.17,90,100,3.76,overcast clouds
146,Benguela,AO,-12.5763,13.4055,69.48,90,54,2.42,broken clouds
147,San Jeronimo,PE,-11.9472,-75.2829,56.86,54,98,6.6,overcast clouds
148,Port Lincoln,AU,-34.7333,135.8667,51.98,61,74,14.09,broken clouds
149,Portland,US,45.5234,-122.6762,93.52,40,10,5.01,clear sky
150,Mayumba,GA,-3.432,10.6554,73.18,87,37,7.36,scattered clouds
151,Seoul,KR,37.5683,126.9778,64.0,97,100,6.91,moderate rain
152,Quelimane,MZ,-17.8786,36.8883,73.35,88,0,8.05,clear sky
153,Saskylakh,RU,71.9167,114.0833,38.73,84,99,6.64,overcast clouds
154,Sinnamary,GF,5.3833,-52.95,81.34,80,91,6.58,overcast clouds
155,Tasiilaq,GL,65.6145,-37.6368,48.36,94,100,25.75,moderate rain
156,Port Elizabeth,ZA,-33.918,25.5701,54.32,62,40,10.36,scattered clouds
157,Kiknur,RU,57.3034,47.2011,71.28,41,98,10.0,overcast clouds
158,Victoria Point,AU,-27.5833,153.3,58.95,71,100,4.7,light rain
159,La Asuncion,VE,11.0333,-63.8628,89.33,62,31,13.8,scattered clouds
160,Gemona,IT,46.2794,13.1431,72.63,84,66,6.06,broken clouds
161,Aswan,EG,24.0934,32.907,96.75,27,39,9.8,scattered clouds
162,Masakin,TN,35.7292,10.5808,86.2,78,20,5.75,few clouds
163,Faanui,PF,-16.4833,-151.75,78.04,73,8,10.67,clear sky
164,Fort Nelson,CA,58.8053,-122.7002,62.19,63,75,4.61,broken clouds
165,Egvekinot,RU,66.3167,-179.1667,46.06,81,100,3.98,overcast clouds
166,Tautira,PF,-17.7333,-149.15,77.11,77,36,9.01,light rain
167,Sitka,US,57.0531,-135.33,57.09,88,75,8.05,moderate rain
168,Cape Town,ZA,-33.9258,18.4232,54.12,51,20,25.32,few clouds
169,Acapulco,MX,16.8634,-99.8901,87.62,58,75,8.05,broken clouds
170,Vardo,NO,70.3705,31.1107,44.58,76,100,18.41,overcast clouds
171,Hobyo,SO,5.3505,48.5268,75.56,85,57,26.08,broken clouds
172,Svarstad,NO,59.399,9.9698,57.56,82,16,2.86,few clouds
